7,8,p
10,11,p
26,10,c-1
30,10,c-1
12,13,p
28,12,c-1
14,15,p
14,26,s
36,14,l-1
46,14,l-1
50,14,l-1
87,14,c-1
14,87,p_c
91,14,d-1
91,14,p_d-1
14,91,p_u
14,91,u
14,99,p_u
14,99,u
14,102,p_u
14,102,u
16,17,p
16,28,s
89,16,c-1
16,89,p_c
93,16,d-1
93,16,p_d-1
18,14,s
18,19,p
41,18,l-1
87,18,d-1
87,18,p_d-1
18,87,p_u
18,87,u
20,16,s
20,21,p
42,20,l-1
89,20,d-1
89,20,p_d-1
20,89,p_u
20,89,u
26,11,p
91,26,c-1
26,91,p_c
28,13,p
93,28,c-1
28,93,p_c
30,11,p
36,11,p
41,15,p
56,41,c-1
42,17,p
57,42,c-1
46,13,p
50,11,p
50,13,p
56,15,p
111,56,c-1
56,111,p_c
57,17,p
113,57,c-1
57,113,p_c
58,56,s
58,59,p
66,58,l-1
71,58,l-1
111,58,d-1
111,58,p_d-1
58,111,p_u
58,111,u
60,57,s
60,61,p
69,60,l-1
74,60,l-1
113,60,d-1
113,60,p_d-1
60,113,p_u
60,113,u
62,63,p
62,67,s
73,62,l-1
115,62,d-1
115,62,p_d-1
62,115,p_u
62,115,u
66,15,p
67,66,l-1
66,110,p_u
66,110,u
67,11,p
115,67,c-1
67,115,p_c
69,17,p
70,69,l-1
69,105,p_u
69,105,u
70,13,p
100,70,c-1
70,100,p_c
71,15,p
71,70,s
100,71,d-1
100,71,p_d-1
73,11,p
98,73,c-1
73,98,p_c
74,17,p
74,73,s
98,74,d-1
98,74,p_d-1
89,79,n-1
79,80,c-1
93,81,n-1
81,82,c-1
87,83,n-1
83,84,c-1
91,85,n-1
85,86,c-1
87,15,p
41,87,c-1
87,41,p_c
87,88,k
88,87,a
89,17,p
42,89,c-1
89,42,p_c
89,90,k
90,89,a
91,11,p
36,91,c-1
91,36,p_c
91,92,k
96,91,c-1
102,91,c-1
92,91,a
93,13,p
93,94,k
95,93,c-1
101,93,c-1
94,93,a
95,13,p
105,95,c-1
96,11,p
110,96,c-1
97,11,p
101,97,c-1
98,11,p
97,98,c-1
98,118,k
99,13,p
46,99,c-1
99,46,p_c
102,99,c-1
100,13,p
99,100,c-1
100,117,k
101,11,p
101,13,p
102,11,p
102,13,p
50,102,c-1
102,50,p_c
115,103,n-1
103,104,c-1
105,13,p
70,105,c-1
105,70,p_c
98,105,n-1
113,106,n-1
106,107,c-1
111,108,n-1
108,109,c-1
110,11,p
67,110,c-1
110,67,p_c
100,110,n-1
111,15,p
66,111,c-1
111,66,p_c
71,111,c-1
111,71,p_c
111,112,k
112,111,a
113,17,p
69,113,c-1
113,69,p_c
74,113,c-1
113,74,p_c
113,114,k
114,113,a
115,11,p
73,115,c-1
115,73,p_c
115,116,k
116,115,a
117,100,a
118,98,a
